"Product ID","Name","UPC/PLU","Modifier","Department","Department Code","Retail Price","Unit Cost","In Stock","Taxable Override","Foodstampable Override","Fractional Override","Tags","Price Level 1","Price Level 2","Price Level 3","Price Level 4","Price Level 5","Price Level 6","Price Level 7","Price Level 8","Price Level 9","Linked Product"
"35351140","Doral Gold Box 100s","00012300220828","0","Tobacco","4","$7.99",,"0",,,,,,,,,,,,,,
"35350893","Winston Red 100 Box 1.00 Pk","00012300266550","0","Tobacco","4","$6.12",,"0",,,,,,,,,,,,,,
"35351139","Doral Gold Box","00012300841993","0","Tobacco","4","$5.99",,"0",,,,,,,,,,,,,,
"35351410","Camel Royal 1","00012300843911","0","Tobacco","4","$10.99",,"0",,,,"Sams Tobacco",,,,,,,,,,
"35351138","Doral Silver 100s","00012300845991","0","Tobacco","4","$7.99",,"0",,,,,,,,,,,,,,
"35352674","Trident Watermelon + Tropical Fruit Suga","00012546001533","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35352255","Trident Spearment 14 Sticks","00012546011075","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35352350","Trident Original Flavour 14 Sticks","00012546011099","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35352372","Trident Tropical Twist 14 Sticks","00012546011112","0","Grocery Non-taxable","3","$2.00",,"0",,,,,,,,,,,,,,
"35352621","Trident Watermelon Twist 14 Sticks","00012546011136","0","Grocery Non-taxable","3","$2.00",,"0",,,,,,,,,,,,,,
"35351889","Trident Bubblegum 14 Sticks","00012546011440","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35351963","Trident Cinnamon Sugar Free 14 Sticks","00012546011471","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35351114","Trident","00012546011495","0","Grocery Non-taxable","3","$2.08",,"0",,,,,,,,,,,,,,
"35352011","Trident Minty Sweet Twist 14 Pcs","00012546011563","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35351791","Trident:wintergreen 14 Sticks","00012546011624","0","Snacks","9","$2.00",,"0",,,,,,,,,,,,,,
"35352315","Dentyne Ice Sugar Free","00012546312417","0","Grocery Non-taxable","3","$2.00",,"0",,,,,,,,,,,,,,
"35352484","Trident White Sugar Free Gum","00012546676090","0","Grocery Non-taxable","3","$2.00",,"0",,,,,,,,,,,,,,
"35351491","Trident White Spearmint 16 Pieces","00012546676113","0","Grocery Non-taxable","3","$2.00",,"0",,,,,,,,,,,,,,
"36466272","Heinz Gravy Home Style Roasted Turkey","00013000798402","0","Grocery Non-taxable","3","$4.00",,"0",,,,,,,,,,,,,,
"35351747","Baverage Napkins","00013051571610","0","Household","6","$1.25",,"0",,,,,,,,,,,,,,
"35351100","Hefly Everyday","00013700238406","0","Household","6","$3.00",,"0",,,,,,,,,,,,,,
"35352360","Milano Double Dark Chocolate 0.98 Oz","00014100054016","0","Gen Merch","10","$0.65",,"0",,,,,,,,,,,,,,
"35351733","Pistachios Wonderful Jalapeno Lime Fl .7","00014113701556","0","Snacks","9","$1.25",,"0",,,,,,,,,,,,,,
"35351343","Roasted & Salted Pistachios Fl .75 Oz","00014113910712","0","Snacks","9","$1.25",,"0",,,,,,,,,,,,,,
"35351546","Chili Roasted Pistachios Fl .75 Oz","00014113910934","0","Snacks","9","$1.25",,"0",,,,,,,,,,,,,,
"35352737","Wonderful:roasted & Salted 1.50 Oz","00014113911856","0","Grocery Non-taxable","3","$1.20",,"0",,,,,,,,,,,,,,
"35352359","Blow Pop","00014200000579","0","Gen Merch","10","$0.60",,"0",,,,,,,,,,,,,,
"35352578","Blow Pop","00014200000692","0","Candy","22","$0.60",,"0",,,,,,,,,,,,,,
"35352137","Charms Blow Pop Minis 3.5 Oz","00014200035359","0","Snacks","9","$2.05",,"0",,,,,,,,,,,,,,
"35849318","Cotton Candy 2 oz","00014200612208","0","Candy","22","$2.00",,"0",,,,,,,,,,,,,,
"35965743","Caribbean hot sauce 5.5 FL Oz","00014272154620","0","General Food","7","$2.50",,"0",,,,,,,,,,,,,,
"37868420","MOTT's APPLE JUICE 86 FL OZ","00014800316650","0","Drinks","8","$4.99","$0.00","0",,,,,,,,,,,,,,
"35351810","Realime Lime Juice 15 Fl Oz","00014800582055","0","General Food","7","$3.25",,"0",,,,,,,,,,,,,,
"40624850","Associated Manufactu Walkerswood Jamaica","00015414341205","0","General Food","7","$5.99",,"0",,,,,,,,,,,,,,
"40624848","Associated Manufactu Jamaican Jerk Seaso","00015414541216","0","General Food","7","$5.99",,"0",,,,,,,,,,,,,,
"35353051","Pirates Booty","00015665624058","0","Snacks","9","$0.55",,"0",,,,,,,,,,,,,,
"35351762","Chex Cinnamon 12 Oz","00016000103719","0","General Food","7","$5.50",,"0",,,,,,,,,,,,,,
"41186056","Reeses puffs","00016000121850","0","Snacks","9","$4.99",,"0",,,,,,,,,,,,,,
"49451817","Betty Crocker Chex Mix Brand Snack","00016000122505","0","Snacks","9","$0.50",,"0",,,,,,,,,,,,,,
"35351763","Cinnamon Toast Crunch","00016000122543","0","Grocery Non-taxable","3","$4.75",,"0",,,,,,,,,,,,,,
"35351875","Lucky Charms 10.5 Oz","00016000123991","0","General Food","7","$5.50",,"0",,,,,,,,,,,,,,
"35778390","Cheerio Homey Nut 15.4 OZ","00016000125063","0","Grocery Non-taxable","3","$8.85","$0.00","0",,,,,,,,,,,,,,
"42994301","LUCKY CHARMS","00016000126855","0","Snacks","9","$7.99",,"0",,,,,,,,,,,,,,
"49451816","General Mills Gardetto Original Recipe S","00016000166097","0","Snacks","9","$0.50",,"0",,,,,,,,,,,,,,
"35352764","Nature Valley:fruit N Nut Trail Mix 1.2o","00016000439894","0","Snacks","9","$0.65",,"0",,,,,,,,,,,,,,
"35351761","Cheerios Multi Grain 12 Oz","00016000487697","0","Grocery Non-taxable","3","$7.85","$0.00","0",,,,,,,,,,,,,,
"41186051","Cheerios","00016000487727","0","Snacks","9","$4.99",,"0",,,,,,,,,,,,,,
"42957777","Chex Gluten Free Rice Cereal","00016000487949","0","Grocery Non-taxable","3","$4.99",,"0",,,,,,,,,,,,,,
"35778282","Gold medal all purpose","00016000502697","0","Grocery Non-taxable","3","$9.75","$0.00","0",,,,,,,,,,,,,,
"35352734","Fruit Roll-ups:sizzling Red 0.50 Oz","00016000502963","0","Snacks","9","$0.50",,"0",,,,,,,,,,,,,,
"49451818","General Mills Revlon Limited Edition Col","00016000612709","0","Snacks","9","$0.50",,"0",,,,,,,,,,,,,,
"42556413","Dark Crush 6 g","00016027641928","0","Tobacco","4","$3.00",,"0",,,,,,,,,,,,,,
"41107759","Grabba  Redrose Blend","00016027641959","0","Tobacco","4","$4.50",,"0",,,,,,,,,,,,,,
"36470611","Armour Potted Meat","00017000009469","0","General Food","7","$0.89",,"0",,,,,,,,,,,,,,
"35351861","Jack Link's All American:beef & Cheese 1","00017082000392","0","Snacks","9","$2.40",,"0",,,,,,,,,,,,,,
"35351570","Jack Link's All American:beef & White Ch","00017082000408","0","Snacks","9","$2.30",,"0",,,,,,,,,,,,,,
"35352149","Rice","00017400105501","0","General Food","7","$2.85",,"0",,,,,,,,,,,,,,
"35352640","Pillsbury:mini Cinnamon Roll Cookies 1.5","00018000140497","0","Snacks","9","$1.59",,"0",,,,,,,,,,,,,,
"35353041","Pillsbury:mini Chocolate Chip Cookies 1.","00018000234516","0","Ultra-Processed Prep Desserts","23","$0.85",,"0",,,,,,,,,,,,,,
"35351634","Budweiser 32oz Btl Sngl","00018200000089","0","Alcohol","5","$4.16",,"0",,,,"Eagle Brands Sales",,,,,,,,,,
"35351178","Natural Light Can (12 Fl Oz)","00018200000317","0","Alcohol","5","$1.20",,"0",,,,"Eagle Brands Sales",,,,,,,,,,
"35350525","Bud Light 12oz","00018200001062","0","Alcohol","5","$1.45",,"0",,,,"Eagle Brands Sales",,,,,,,,,,
"35352299","Bud Light 32oz Btl Sngl","00018200001178","0","Alcohol","5","$4.67",,"0",,,,"Eagle Brands Sales",,,,,,,,,,
